Local,Nome,Logradouro,Latitude,Longitude
Full Serve,Ruby Foo's,750 Seventh Ave,40.760753,-73.983525
Coffee,Starbucks,750 Seventh Ave,40.760753,-73.983525
Full Serve,Kodama Sushi,301 W 45th St,40.759351,-73.988814
Café Deli,Midtown Gourmet Deli,840 Eighth Ave,40.762694,-73.985799
Full Serve,Nan King Chinese Cuisine,1632 Broadway,40.761516,-73.983976
Quick Serve,Patzeria Pizza,231 W 46th St,40.759101,-73.986276
Quick Serve,Piano Due,151 W 51st St,40.761324,-73.981846
Full Serve,Sombrero,303 W 48th St,40.76124,-73.987478
Full Serve,Thalia Kitchen,828 Eighth Ave,40.762192,-73.986164
Full Serve,Tom and Toon,245 W 51st St,40.762439,-73.984492
Full Serve,Grand Sichuan,368 W 46th St,40.760548,-73.989734
Café Deli,Chopp't,1460 Broadway,40.754998,-73.986284
Café Deli,Off Broadway Deli Pizza,726 Eighth Ave,40.759291,-73.988287
Quick Serve,Z Deli-Pizzeria,803 Eighth Ave,40.761371,-73.986785
Quick Serve,Zheng's Lucky Sunday Garden,856 Eighth Ave,40.763207,-73.985423
Full Serve,Charley O's,1611 Broadway,40.760696,-73.984568
Quick Serve,Amadeus Pizza,856 Eighth Ave,40.763207,-73.985423
Café Deli,Andy's Deli & Natural Foods,270 W 47th St,40.76004,-73.98663
Full Serve,Angus McIndoe Restaurant,258 West 44th Street,40.758108,-73.987861
Full Serve,Brazil Brazil,328 W 46th St,40.760205,-73.988922
Full Serve,Sofia's,221 W 46th St,40.759025,-73.986092
Full Serve,Cafe Nicole @ Novotel,226 W 52nd St,40.762897,-73.983683
Full Serve,Cafe Edison,228 W 47th St,40.759727,-73.985886
Full Serve,Ciro Trattoria,813 Eighth Ave,40.761569,-73.98664
Full Serve,Olympic Restaurant,807 Eighth Ave,40.761451,-73.986727
Bar Lounge,Emmett O'Lunney's,210 W 50th St,40.76156,-73.984395
Café Deli,Maxie's Delicatessen,723 Seventh Ave,40.759974,-73.984067
Café Deli,Cyber Cafe,250 W 49th St,40.761193,-73.985478
Full Serve,Palm Restaurant,250 W 50th St,40.76183,-73.985034
Full Serve,Jade Terrace,268 W 47th St,40.760024,-73.986594
Quick Serve,vacant (Red Mango),723 Eighth Ave,40.75945,-73.988193
Full Serve,Russian Vodka Room,265 W 52nd St,40.763183,-73.984315
Bar Lounge,Rum House,228 W 47th St,40.759727,-73.985886
Quick Serve,Hudson's Sports Bar & Grill,811 Seventh Ave,40.762674,-73.982095
Full Serve,Russo's Steak and Pasta,790 Seventh Ave,40.762005,-73.982612
Café Deli,Starlite Deli,212 W 44th St,40.757531,-73.986493
Quick Serve,Villa Pizza,662 Eighth Ave,40.757381,-73.989669
Bar Lounge,Harmony View,210 W 50th St,40.76156,-73.984395
Full Serve,Pearls,732 Seventh Ave,40.760177,-73.983944
Full Serve,Frankie & Johnnie's Steakhouse,269 W 45th St,40.758863,-73.987641
Café Deli,Times Square Hot Bagels,200 W 44th St,40.757405,-73.98619
Full Serve,Brasserie 1605,1605 Broadway,40.760537,-73.984644
Full Serve,La Masseria,235 W 48th St,40.760476,-73.985666
